time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
608,22,10,22,17,18,16,22,22,13,10
609,22,10,22,17,18,16,22,22,13,10
610,22,10,22,17,18,16,22,22,13,10
611,22,10,22,17,18,16,22,22,13,10
612,22,10,22,17,18,16,22,22,13,10
613,23,3,3,15,18,23,15,11,23,3
614,23,3,3,15,18,23,15,11,23,3
615,23,3,3,15,18,23,15,11,23,3
616,23,3,3,15,18,23,15,11,23,3
617,23,3,3,15,18,23,15,11,23,3
618,23,3,3,15,18,23,15,11,23,3
619,23,3,3,15,18,23,15,11,23,3
620,23,3,3,15,18,23,15,11,23,3
621,23,3,3,15,18,23,15,11,23,3
622,23,3,3,15,18,23,15,11,23,3
623,23,3,3,15,18,23,15,11,23,3
624,23,3,3,15,18,23,15,11,23,3
